"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05323","Rheumatoid arthritis","36/717","92/7991",3.20304563264605e-15,1.00575632865086e-12,7.95703967688913e-13,"3127/6374/6364/6348/6349/3123/3553/941/3683/2920/7124/6352/3119/3552/1493/942/3109/7040/3689/10673/3115/4050/1513/3383/3458/2921/2353/3576/3122/3111/525/3108/7097/2321/245972/6347",36
"hsa04060","Cytokine-cytokine receptor interaction","67/717","294/7991",2.80614605621923e-13,4.4056493082642e-11,3.48552878561968e-11,"6374/608/6364/6348/10563/6349/6362/3553/7852/3557/5008/1233/3575/2920/7124/6352/3561/6351/115650/3552/3603/3587/56832/654/1441/729230/652/3594/7040/10673/4050/3579/1230/6354/3554/8807/3458/2921/1439/3952/3455/3576/657/6369/656/9235/655/658/4982/6368/9518/4804/4283/3590/8743/3624/3577/9966/1438/944/920/6347/1236/3601/7850/5473/6363",67
"hsa04062","Chemokine signaling pathway","49/717","189/7991",3.64046978404517e-12,3.81035837396728e-10,3.0145644527532e-10,"6374/6364/6348/10563/6349/6362/7852/5330/3055/1233/1794/2770/2920/6352/6351/7454/4067/729230/5880/7410/409/3579/1230/5579/6354/56288/9844/2921/2185/5293/7074/3718/3576/6369/6368/7409/2268/4283/5058/3577/5294/6347/55970/23533/196883/1236/5473/5290/6363",49
"hsa04640","Hematopoietic cell lineage","33/717","98/7991",6.42509396696605e-12,5.04369876406835e-10,3.99032151632629e-10,"3127/3123/915/3553/3673/931/951/3575/7124/3119/3552/916/948/914/1441/3109/917/4254/3115/930/3554/290/3122/3690/3111/3108/960/3590/1438/920/926/7850/952",33
"hsa05332","Graft-versus-host disease","20/717","41/7991",3.89329285797259e-11,2.44498791480679e-09,1.93435181996112e-09,"3127/3123/3553/941/7124/3119/3552/942/3109/3115/3458/3122/3135/3111/3108/3824/3106/5551/3002/3107",20
"hsa04380","Osteoclast differentiation","35/717","127/7991",8.03170461635628e-10,4.20325874922645e-08,3.32540752536856e-08,"3553/3937/7124/29760/3552/4688/11006/7040/1513/3554/3458/695/4689/5293/6850/2353/2213/3455/2212/11024/3690/10326/54209/3932/4982/5971/7305/11027/5336/5600/140885/3726/5599/126014/5290",35
"hsa04940","Type I diabetes mellitus","19/717","43/7991",1.02278552000812e-09,4.58792361832213e-08,3.62973507852505e-08,"3127/3123/3553/941/7124/3119/3552/942/3109/3115/3458/3122/3135/3111/3108/3106/5551/3002/3107",19
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","30/717","100/7991",1.44444488266381e-09,5.66944616445545e-08,4.48538147774551e-08,"6374/6364/6348/10563/6349/6362/7852/1233/2920/7124/6352/3561/6351/3587/729230/3579/1230/6354/8807/2921/3576/6369/6368/4283/8743/3577/6347/1236/5473/6363",30
"hsa05330","Allograft rejection","17/717","37/7991",3.75933657716552e-09,1.18043168522997e-07,9.33898349695855e-08,"3127/3123/941/7124/3119/942/3109/3115/3458/3122/3135/3111/3108/3106/5551/3002/3107",17
"hsa05340","Primary immunodeficiency","17/717","37/7991",3.75933657716552e-09,1.18043168522997e-07,9.33898349695855e-08,"915/4261/973/5788/3575/3561/115650/29760/916/930/695/3718/3932/29851/6890/920/926",17
"hsa04514","Cell adhesion molecules (CAMs)","36/717","147/7991",1.47754587187156e-08,4.21772185243337e-07,3.33685000728889e-07,"3127/3123/941/83700/5788/3683/3119/914/1493/942/3109/6402/3689/3115/6404/1000/3383/3385/1002/5133/1366/3122/3135/29851/3111/3108/9378/64115/257194/1272/3106/920/6614/926/29126/3107",36
"hsa05140","Leishmaniasis","24/717","76/7991",2.1145794413386e-08,5.53314953816933e-07,4.37755042242026e-07,"3127/3123/3553/1536/5777/7124/3119/3552/4688/3109/7040/3689/3115/5579/3458/4689/2353/2212/3122/3111/3108/1917/7097/5600",24
"hsa04650","Natural killer cell mediated cytotoxicity","33/717","130/7991",2.31505556237536e-08,5.59174958912203e-07,4.42391184389139e-07,"962/3937/3683/5777/7124/2207/5880/7410/3689/919/5579/3383/3458/2185/5293/6850/3455/3135/3932/3824/7409/27040/5058/7305/3106/5336/8743/5551/3002/259197/80328/3107/5290",33
"hsa04064","NF-kappa B signaling pathway","28/717","102/7991",4.43184143190063e-08,9.93998721154856e-07,7.86401938292143e-07,"597/3929/3553/5328/7128/23643/2920/7124/6351/115650/29760/4067/10673/4050/5579/3383/3554/2921/695/6850/3576/330/3932/5971/4616/27040/5336/6363",28
"hsa04672","Intestinal immune network for IgA production","17/717","47/7991",2.73847291446424e-07,5.36275947390858e-06,4.24274634878453e-06,"3127/608/3123/7852/941/3119/115650/942/3109/7040/10673/3115/3122/29851/3111/3108/3601",17
"hsa04662","B cell receptor signaling pathway","23/717","80/7991",2.86298279959449e-07,5.36275947390858e-06,4.24274634878453e-06,"27071/973/118788/5777/29760/4067/11006/5880/7410/3635/5579/930/695/5293/6850/2353/2213/11024/971/7409/11027/5336/5290",23
"hsa04658","Th1 and Th2 cell differentiation","25/717","92/7991",2.90340481071483e-07,5.36275947390858e-06,4.24274634878453e-06,"3127/3123/915/3561/3119/916/3109/55534/917/3594/3115/919/2625/3458/2353/3718/3122/3932/3111/3108/27040/5600/920/5599/6775",25
"hsa05169","Epstein-Barr virus infection","41/717","200/7991",3.15969873964121e-07,5.46744715587754e-06,4.32556999258163e-06,"3127/3123/915/7128/3683/7124/3119/29760/4067/916/7979/3109/917/3115/919/4193/930/3383/695/5293/6850/3718/3455/3122/3135/1871/3111/2923/5971/3108/4616/6890/7097/960/3106/5336/5600/25942/5599/3107/5290",41
"hsa04145","Phagosome","34/717","151/7991",3.30832789686857e-07,5.46744715587754e-06,4.32556999258163e-06,"3127/1520/3123/4973/1536/3673/3119/4688/948/2204/3109/64581/7060/3689/347733/3115/7280/4689/2213/2212/3122/3690/3135/1780/3111/525/3108/6890/7097/22925/11151/3106/245972/3107",34
"hsa05416","Viral myocarditis","19/717","59/7991",4.47810277203371e-07,7.03062135209292e-06,5.56227502210503e-06,"3127/3123/941/3683/3119/3908/942/3109/5880/3689/3115/3383/3122/3135/3111/3108/3106/5551/3107",19
"hsa04659","Th17 cell differentiation","27/717","107/7991",5.02077819054555e-07,7.32149276018437e-06,5.79239789273721e-06,"3127/3123/915/3553/3662/3561/3119/916/3109/917/3594/7040/3115/919/2625/3554/3458/2353/3718/3122/3932/3111/3108/27040/5600/920/5599",27
