"","N.N.1","N.N.2","N.N.3","N.N.4","N.N.5","N.N.6","I.L.1","I.L.2","I.L.3","I.S.4","I.S.5","I.S.6"
"16854437",5.82411227979031,5.74516293699153,5.37029852593219,5.66652534767023,5.72123687792975,5.60677896485224,4.50836783080076,4.97232275361721,5.03984759883695,5.76584577059505,5.60022746459011,5.83409629122086
"16802681",2.89657771542604,3.37022202609945,3.97662621900432,2.9028840977895,3.15874067428358,3.20149681227163,2.77961774924704,3.76062910893961,3.52405027198951,2.86922970479009,3.07987543787428,3.56234894347726
"16729924",6.63180897717458,6.29137445785898,6.12707822054031,5.77134274296261,6.09448344961568,6.03732367470877,5.12909164589585,5.2314614013102,5.35139164389842,6.17347463184571,6.17225884233151,5.69833353944173
"16798132",5.84726763232975,6.71788846817652,5.7800727053475,5.38887462860709,5.46645432685414,5.78520932601695,4.67350362868494,4.43175325295915,4.66845060476482,4.27399418929501,4.96760696830643,4.40974079642505
"16798158",2.26390898539553,2.17903461549771,1.28616534279705,1.62722364623406,1.55897217066981,1.24332920648767,1.08532615358087,1.34423441485466,2.34567111418457,1.76033839296097,1.34253911253279,2.24397260356322
"16798160",2.65789938746569,3.97327638364008,3.30382617742726,3.38225830862426,3.74770613632698,3.0566718588845,2.56951323564439,4.24688456470999,3.35558983411822,4.10552651063866,3.14437426975752,3.05802492220474
"16798162",0.890608965937652,1.10887690979481,0.958515649494739,1.90395150971646,1.50536610092621,0.895254638903441,1.11430140855651,0.931984389680883,1.66775295498892,1.64961312849492,2.24474244065301,1.43645834405779
"16798164",7.70075811678926,8.14389869042111,7.4010062405884,7.63629144409446,7.5593842230536,7.72908433022642,6.62646057725992,5.62217710451106,6.08495652582769,6.81928178701101,6.63635310021317,6.70556312361285
"16798190",9.73716264828425,9.99157292530104,9.37439250102458,9.40850607529655,9.08974859937534,9.6609136195097,8.36076729235886,8.41249346572815,8.18008559254719,8.86834298895806,8.55155722753562,8.50228516141852
"16798194",5.05112745282143,5.29570074195491,3.89571337503746,4.89167044230121,4.350971599907,5.25562036004018,1.9873190595018,2.56338371442727,3.28407840788791,1.72793448760025,3.53710930070574,4.71962853950031
"16798212",6.4413903908431,6.85707728751179,5.85412274534861,5.97159542569436,5.4004418552427,6.05614475385002,4.17169884668079,4.69453739753237,4.59324526317675,4.9258240221405,5.14063266474598,5.1729224141033
"16798216",5.06608822358604,4.49374081803667,4.86357080160622,4.85772248412772,3.99895263691492,4.24812068697899,4.06539078464555,2.86106871884482,1.899695440174,4.0528373447534,2.78059630764714,4.0409403103633
"16798222",3.11921863851726,2.53570300225647,2.31929921146327,2.34927467041813,1.52241147955388,1.54571148939572,2.38636591038223,1.63612588070718,1.79404230894773,1.89318675208736,2.12254364562707,1.90767356807415
"16798228",3.62433766206135,3.69322187843962,2.73080835686864,3.08401183141966,2.82743244118348,3.10140718738991,4.19366544910507,2.20831665248503,2.53477202396283,1.59107379419558,2.15211872950358,2.62142371782711
"16798230",2.57302824891095,4.07476295993923,1.72629302237554,2.5843741536676,2.05143443341154,2.77421484119635,2.70913041400158,1.66561421305193,3.37529890487395,2.82645575637772,3.08681631498471,3.15319984988469
"16798408",1.97348000663144,1.55502391599093,1.66949915624901,1.16326112281742,1.78583601248635,1.86199516406157,2.72570391150184,0.971520932978152,2.0729115146427,1.2857326636041,1.41922093917659,1.57415662895351
"16798426",1.34367914916462,0.927936675837709,1.92282539322819,1.07036483702236,1.7087510744237,1.97268382174699,1.09698298669843,1.7329663999154,1.17958534384399,1.30528246124819,1.15999203309782,1.44719157412796
"16798236",3.27770262480854,4.58028192156536,4.02983929617787,3.36579625807679,3.6613381386169,4.64724957414649,2.74624861839825,2.67397667587024,3.58630608184905,2.53320000249412,3.53591780536353,3.42900159760801
