"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","16657492","LINC01409","105378580","long intergenic non-protein coding RNA 1409",-0.047493085747444,5.12269273817448,-0.122313285968335,0.904648071505327,0.94573419955776,-6.92907770262966
"2","16657758","LOC105378585","105378585","uncharacterized LOC105378585",0.884651481175627,3.63931286763535,3.05482230347513,0.00985384012620396,0.0355667954088986,-3.23579355365739
"3","16657761","TMEM88B","643965","transmembrane protein 88B",-0.247872641641752,4.93257343994797,-0.558995875623722,0.586306888151369,0.719921663252968,-6.77171045166202
"4","16657777","ATAD3C","219293","ATPase family AAA domain containing 3C",0.0986349742172099,2.11952833836492,0.422671565694376,0.67990914831065,0.79266516581929,-6.84202168128246
"5","16657793","ATAD3B","83858","ATPase family AAA domain containing 3B",-0.203732973940336,3.2917000742725,-0.424546753087291,0.67857805053587,0.792236346977689,-6.84118248371308
"6","16657917","SLC35E2A","9906","solute carrier family 35 member E2A",-0.463082895701582,4.87321664708006,-2.23867505260389,0.044618478584251,0.112314303398765,-4.69119822465324
"7","16657938","GABRD","2563","gamma-aminobutyric acid type A receptor delta subunit",-1.57697090627505,5.3056148096412,-8.85214054117322,1.1882313912832e-06,8.20600473511561e-05,5.89455849940168
"8","16658020","PLCH2","9651","phospholipase C eta 2",0.799131484346907,4.42169043133036,2.23969341423856,0.0445363858727697,0.112150562205444,-4.68947340385422
"9","16658119","MMEL1-AS1","105378597","MMEL1 antisense RNA 1",0.0862376801668736,4.32768040862536,0.245769125016872,0.809958062321658,0.886357248030865,-6.904792379569
"10","16658122","LOC105378598","105378598","uncharacterized LOC105378598",0.0760743277074711,2.61161810278181,0.248187153509628,0.808129166894682,0.88521556819827,-6.90415529086145
"11","16658192","TP73","7161","tumor protein p73",0.832358212182409,2.49200821543857,2.78561017794571,0.0162933070991888,0.0519679887119061,-3.72797012555571
"12","16658289","AJAP1","55966","adherens junctions associated protein 1",-0.906055392951632,7.96421298548843,-4.93466152890448,0.000331435100259441,0.00331939567687538,0.177900834427605
"13","16658312","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",0.684740218718621,3.29022276940085,3.2170094787764,0.00727728521787016,0.02856036243955,-2.93649758675078
"14","16658379","LINC00337","148645","long intergenic non-protein coding RNA 337",0.306507591513586,4.09215097159462,0.997021057701013,0.338171202475399,0.4979115042041,-6.42503029314455
"15","16658390","ESPN","83715","espin",0.519418924858566,4.61557256302315,1.74079030062865,0.106926003325121,0.216689302139907,-5.48810296469397
"16","16658536","PER3","8863","period circadian regulator 3",-0.431240436744511,8.18449172535219,-3.01511120891209,0.0106133096313662,0.0375460093410698,-3.30882572010553
"17","16658641","LNCTAM34A","102724571","long non coding transcriptional activator of miR34a",0.918890741427441,2.74678007854944,1.63989144478626,0.126609700263002,0.244103362956616,-5.63585130449752
"18","16658664","SLC25A33","84275","solute carrier family 25 member 33",-0.771064879394634,6.33209008775625,-4.26508608210185,0.00106476119231903,0.0073593788292639,-1.00801220459296
"19","16658690","PIK3CD","5293","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",0.916363939572481,4.75616955139731,4.63915680337523,0.00055080892725612,0.00463468381246198,-0.339056293127147
"20","16658962","ANGPTL7","10218","angiopoietin like 7",0.392141822791097,4.0682460453597,0.852266157108674,0.410529715808704,0.569170992419147,-6.55898024279155
"21","16659046","DRAXIN","374946","dorsal inhibitory axon guidance protein",0.826619474206096,3.27169635752139,3.38141369142062,0.0053559126378358,0.0223758127980695,-2.63210016359412
"22","16659138","RNU5E-1","26829","RNA, U5E small nuclear 1",0.297998978691465,7.30085593439475,0.737212126401738,0.474971082919323,0.627572234058061,-6.65211334785846
"23","16659366","PRAMEF12","390999","PRAME family member 12",0.229986177841575,1.57825070368276,0.80045193342419,0.438800380581673,0.594462940956847,-6.60242398146335
"24","16659605","EFHD2","79180","EF-hand domain family member D2",0.619591081441891,6.76698950974498,3.88756427334802,0.00210503582581205,0.011678866554674,-1.69656803582843
"25","16659623","CELA2A","63036","chymotrypsin like elastase 2A",0.652654121537791,3.1085646646342,1.62406705697057,0.129970088548553,0.248822572781344,-5.65852190728465
"26","16659727","SLC25A34","284723","solute carrier family 25 member 34",-0.310563230928011,4.03210025407861,-1.16795584694695,0.265203228518349,0.418474159148857,-6.24431575412172
"27","16659794","CLCNKA","1187","chloride voltage-gated channel Ka",0.177275363592884,2.7278071148813,0.686559929381474,0.505235169730961,0.653389822490119,-6.6892129489132
"28","16659825","CLCNKB","1188","chloride voltage-gated channel Kb",0.519827571398901,3.48491513937093,1.18998742794042,0.256754561898578,0.409463164637093,-6.21934807026747
"29","16659856","LOC101927479","101927479","uncharacterized LOC101927479",-0.887918501197905,4.25078139708063,-2.51363997626365,0.0269905281387424,0.0771122813123249,-4.21505923134296
"30","16660057","MIR3972","100616188","microRNA 3972",-0.212730966541871,3.07685186626329,-0.630072065803188,0.540300828331129,0.683944694577267,-6.72769794589078
"31","16660233","LOC105376819","105376819","uncharacterized LOC105376819",-1.01507776878886,2.36118582470424,-3.04834492360525,0.00997390293934358,0.0359016856350551,-3.24771402466327
"32","16660260","HTR6","3362","5-hydroxytryptamine receptor 6",0.194754947756024,2.68908693625109,0.537245446820944,0.600786090959914,0.732475908563319,-6.78418195698269
"33","16660269","OTUD3","23252","OTU deubiquitinase 3",-0.210745574440319,5.27913178986121,-1.33967854383159,0.204836924646216,0.345685294735086,-6.04021686885783
"34","16660282","PLA2G5","5322","phospholipase A2 group V",0.567055505580976,5.08150373905675,2.16966552160014,0.0505278581613256,0.124077599422287,-4.80731344404752
"35","16660299","PLA2G2F","64600","phospholipase A2 group IIF",-0.0681433094548018,2.47889885788114,-0.187058344505902,0.854698035056394,0.916557033717036,-6.91836175791314
"36","16660360","CDA","978","cytidine deaminase",0.193345190448195,6.34130398450201,1.00333535202751,0.335237356868862,0.494809737146055,-6.41877816854976
"37","16660455","LINC02596","105376834","long intergenic non-protein coding RNA 2596",0.445062571096703,3.06531975171646,1.50086924079126,0.158888277765537,0.287799149223429,-5.83006511394333
"38","16660458","LDLRAD2","401944","low density lipoprotein receptor class A domain containing 2",0.364637684320832,4.91167703150818,1.47900038482423,0.164559674682386,0.294560027043008,-5.85955981801732
"39","16660575","C1QA","712","complement C1q A chain",0.322166490624549,6.06472925505901,1.44485354572892,0.173757946734035,0.306193703671653,-5.90501180261526
"40","16660581","C1QC","714","complement C1q C chain",0.596079976788516,7.40424902483164,3.36945964705345,0.00547643996990334,0.0227781131491555,-2.65424960099174
"41","16660587","C1QB","713","complement C1q B chain",0.358062730762758,7.04657887922482,2.02726374754715,0.065123621291676,0.149672870450307,-5.04173282355202
"42","16660713","LYPLA2","11313","lysophospholipase 2",-0.158504658564578,3.1478869639362,-0.319887103766645,0.754480524840988,0.85024409722112,-6.8824670901669
"43","16660734","MIR378F","100616492","microRNA 378f",0.281690083730854,2.90992603371195,0.964461639507701,0.353594026626543,0.513835842580091,-6.45673570334817
"44","16660822","NCMAP","400746","non-compact myelin associated protein",-0.267518614200442,5.87647303889095,-1.15318445687293,0.270987585008864,0.425053232266585,-6.26084752661916
"45","16661051","PDIK1L","149420","PDLIM1 interacting kinase 1 like",-0.457785643061494,5.01678599406684,-2.38365914544696,0.0342726819320734,0.0916724581760337,-4.44258976901869
"46","16661071","CNKSR1","10256","connector enhancer of kinase suppressor of Ras 1",0.875592194986893,3.26857947693598,3.52821155940231,0.00407764824253466,0.0182771971634047,-2.36009892141375
"47","16661192","HMGN2","3151","high mobility group nucleosomal binding domain 2",-0.384627695044149,5.15795805006937,-1.60951837898696,0.133128091997167,0.25325257979048,-5.67924063651431
"48","16661314","SFN","2810","stratifin",-0.836379993578238,4.06459816495629,-1.43829300179508,0.175573917296193,0.308136621431208,-5.91365904511979
"49","16661435","LOC105376892","105376892","uncharacterized LOC105376892",0.868860634978409,2.25204715954546,3.24730765973831,0.00687706846800696,0.0273751424800277,-2.88045126347324
"50","16661443","FAM76A","199870","family with sequence similarity 76 member A",-0.0612451946252284,4.15458350722914,-0.336174938513735,0.742465917427351,0.840687898948066,-6.87678918179808
"51","16661495","SCARNA1","677774","small Cajal body-specific RNA 1",0.0657267780718405,3.45503884742716,0.154184035896184,0.879992727536656,0.931701508571219,-6.92436111193807
"52","16661497","THEMIS2","9473","thymocyte selection associated family member 2",1.32847824885471,5.56172842663666,8.42484916128513,2.00530467987634e-06,0.000114738302552924,5.36948666739553
"53","16661508","SMPDL3B","27293","sphingomyelin phosphodiesterase acid like 3B",0.641924725714582,3.96298667316702,2.09660106275673,0.0575840658953328,0.136788142090718,-4.92850957377884
"54","16661636","RAB42","115273","RAB42, member RAS oncogene family",0.892968744635271,3.74018027132166,3.36140516217393,0.00555919585138469,0.0230640029647612,-2.66917285713097
"55","16661642","LINC01715","105378616","long intergenic non-protein coding RNA 1715",-0.552039483175935,3.66480487539348,-1.47780139002866,0.164875526058053,0.294964916112558,-5.86116827388704
"56","16661730","PTPRU","10076","protein tyrosine phosphatase receptor type U",-1.12784094403244,7.7513946964411,-7.10362045309945,1.15174389325354e-05,0.000389216819160092,3.60207682074681
"57","16661862","TINAGL1","64129","tubulointerstitial nephritis antigen like 1",0.349297041217492,4.51486367068166,1.97555923259963,0.0713317390078697,0.160520808027285,-5.12494810566109
"58","16661890","HCRTR1","3061","hypocretin receptor 1",0.112701326940503,2.86802801443275,0.38034027903601,0.710249851884362,0.814047034558283,-6.86000376624663
"59","16662009","IQCC","55721","IQ motif containing C",-0.376796955073014,5.03049715655577,-1.30791934820777,0.215074144778655,0.359093598742337,-6.07956630861232
"60","16662018","DCDC2B","149069","doublecortin domain containing 2B",-0.292859630346458,4.83361850907846,-0.875226483083787,0.398400069242365,0.557404306956148,-6.53895676457392
"61","16662052","LCK","3932","LCK proto-oncogene, Src family tyrosine kinase",1.00133877980712,3.31719427452118,4.07254186958159,0.00150453226635481,0.00929560780527197,-1.35776630475579
"62","16662108","TSSK3","81629","testis specific serine kinase 3",-0.0137983375717576,3.94737205543522,-0.0379198463938553,0.970366702007992,0.983217261966829,-6.93632219364946
"63","16662113","ZBTB8B","728116","zinc finger and BTB domain containing 8B",0.0405627643420998,3.74062843045022,0.129368512287234,0.899180215306772,0.942735152440816,-6.92812702279031
"64","16662123","ZBTB8A","653121","zinc finger and BTB domain containing 8A",-0.539301388919929,6.31121705402841,-2.83257460778144,0.0149267476895625,0.0487676265130692,-3.642680843319
"65","16662313","GJB5","2709","gap junction protein beta 5",0.302439469663386,3.27723813929386,0.929262863759287,0.370823468649094,0.531362897149617,-6.48999418582038
"66","16662329","GJA4","2701","gap junction protein alpha 4",-0.319984434499101,5.18263712329796,-1.31808633479147,0.211752569877293,0.354627617661642,-6.06704616261258
"67","16662619","MIR4255","100422898","microRNA 4255",0.434905935424175,2.11463938182351,1.50512502929618,0.157804163866204,0.286441765031621,-5.82429080214913
"68","16662712","LOC105378654","105378654","uncharacterized LOC105378654",-0.41234211411812,1.73818981069783,-1.52923247274001,0.151781580586385,0.27883899036727,-5.79137193231168
"69","16662724","LINC01685","105378656","long intergenic non-protein coding RNA 1685",0.610611409818596,1.84627762278368,2.83895144328651,0.0147501614295678,0.0483106332536366,-3.631078567969
"70","16662728","LOC105378662","105378662","uncharacterized LOC105378662",-0.671642122324862,5.33877408027446,-4.16744419603232,0.0012681506167327,0.00822922195079012,-1.18496910583294
"71","16662945","MFSD2A","84879","major facilitator superfamily domain containing 2A",0.399062556929976,5.89101415715275,2.72975060071043,0.0180801994693039,0.0566512916704857,-3.8290195104029
"72","16663212","LOC105378678","105378678","uncharacterized LOC105378678",-0.899351172775806,6.61145214322563,-2.9215675369885,0.0126412285771872,0.0427437225271797,-3.48033732369625
"73","16663376","ZNF691","51058","zinc finger protein 691",-0.72287502476766,5.11554137909794,-4.2252812025889,0.00114325823937906,0.00769186013815358,-1.08004465461787
"74","16663398","FAM183A","440585","family with sequence similarity 183 member A",0.202748162760535,3.64654260012801,0.638712038305681,0.53484960945556,0.679010308743505,-6.72201104904563
"75","16663773","DPH2","1802","diphthamide biosynthesis 2",-0.407593739151298,3.79359675462145,-1.19287085459444,0.255664563653329,0.408318647776434,-6.21605307349786
"76","16663812","B4GALT2","8704","beta-1,4-galactosyltransferase 2",-0.0903822368800959,6.84980499193513,-0.619314536134018,0.547131642983448,0.689196562951056,-6.73467722379651
"77","16663828","CCDC24","149473","coiled-coil domain containing 24",0.0658059056443672,3.71528170480578,0.189189822752159,0.85306346969536,0.915537046255989,-6.91793308679897
"78","16664003","SNORD46","94161","small nucleolar RNA, C/D box 46",0.699528617587626,10.0149337909987,3.78623601789602,0.00253374736683234,0.0132528280395523,-1.88309589584232
"79","16664005","PLK3","1263","polo like kinase 3",0.182576777316965,4.99532242113654,0.845444370760643,0.41418079758755,0.572598143967252,-6.56483862603889
"80","16664072","LINC01144","400752","long intergenic non-protein coding RNA 1144",-0.136798394164782,4.36835023023386,-0.469969585457158,0.646688815177262,0.768782728792482,-6.81975662847863
"81","16664091","MMACHC","25974","metabolism of cobalamin associated C",0.109377045701286,3.29155828478606,0.389070485287319,0.703947824432306,0.810838330394953,-6.85644643495587
"82","16664150","TMEM69","51249","transmembrane protein 69",-0.784899871477498,7.59942313211413,-5.16060883383494,0.000226563662270125,0.0025527207153038,0.5655899444304
"83","16664218","TSPAN1","10103","tetraspanin 1",-0.247195836328921,2.49748723727633,-0.572512210157657,0.577401794089438,0.711746685108374,-6.76372363357446
"84","16664341","MKNK1-AS1","100507423","MKNK1 antisense RNA 1",0.422411277010544,2.52693190086253,1.30387845570779,0.216406008224437,0.360494059270075,-6.08452226078411
"85","16664350","TEX38","374973","testis expressed 38",0.226799560112571,3.60510764644417,0.538491126701956,0.599951942192071,0.731730079633703,-6.78348041609699
"86","16664421","CYP4A22","284541","cytochrome P450 family 4 subfamily A member 22",-0.0241246522739278,1.82725300789826,-0.0667961646855466,0.9478291130271,0.969164182188909,-6.93470153793583
"87","16664438","LINC00853","100874253","long intergenic non-protein coding RNA 853",0.584664359982116,4.53613211274313,1.52220752508831,0.153515908120566,0.281096749776256,-5.80100113027928
"88","16664486","SLC5A9","200010","solute carrier family 5 member 9",0.589249351387016,2.78753191839241,1.95695172893977,0.0736965236264883,0.164715735551051,-5.15462953706158
"89","16664559","FAF1-AS1","105378715","FAF1 antisense RNA 1",-0.692534170779253,3.07644375444598,-2.01639945216207,0.0663849897263638,0.151566007078235,-5.05930674759536
"90","16664579","MIR4421","100616189","microRNA 4421",0.655998680535361,1.4405397202791,1.71180244588034,0.112282435297378,0.224633148147384,-5.53110285941488
"91","16664690","TXNDC12-AS1","104355143","TXNDC12 antisense RNA 1",0.774837036283092,2.70871328161454,2.21228638164356,0.046796451755214,0.11658939213318,-4.73578028939114
"92","16664708","ZFYVE9","9372","zinc finger FYVE-type containing 9",-0.728944420881238,6.4289725107717,-4.87082737801495,0.000369506894656936,0.00360735217632439,0.0671568247569585
"93","16664748","GPX7","2882","glutathione peroxidase 7",-0.406118243004679,8.07025668097989,-2.29281572725557,0.0404476338236469,0.104370757082195,-4.59906376933963
"94","16664765","ZYG11B","79699","zyg-11 family member B, cell cycle regulator",-0.486801528536132,7.44759773637584,-3.61920125278601,0.00344582515215681,0.0163968584412005,-2.1916437923774
"95","16664878","LINC01771","105378732","long intergenic non-protein coding RNA 1771",-0.280585407219651,2.92206178827434,-0.72169295745351,0.484122930837671,0.635034899170822,-6.66373773033574
"96","16664912","LRRC42","115353","leucine rich repeat containing 42",-0.696264294484661,5.82161479373279,-4.78290976822445,0.000429589907506797,0.00394365901377872,-0.0862181176916748
"97","16665094","TMEM61","199964","transmembrane protein 61",0.549361555729075,3.01580675715635,1.67598315791135,0.119229242011197,0.234327482805758,-5.58362739243055
"98","16665176","LINC01767","105378744","long intergenic non-protein coding RNA 1767",0.016918207227552,3.9837841132297,0.0765742760393812,0.940207062470859,0.964218760215217,-6.93395031168127
"99","16665182","PRKAA2","5563","protein kinase AMP-activated catalytic subunit alpha 2",-0.292710151935161,4.10700568668629,-1.387567481793,0.190158756729669,0.3276367162297,-5.97957025195138
"100","16665302","HOOK1","51361","hook microtubule tethering protein 1",-0.0523806694721678,4.01491689870816,-0.0979655804451741,0.923555106187009,0.955952902109567,-6.93195000960088
"101","16665558","DLEU2L","79469","deleted in lymphocytic leukemia 2 like",-0.626199096540536,4.521719861639,-2.24287271328932,0.0442810158613269,0.11177585884143,-4.68408649732027
