"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","16657492","LINC01409","105378580","long intergenic non-protein coding RNA 1409",4.71689599311964,5.12269273817448,10.8653704933513,1.27585072293033e-07,2.08885239036616e-07,8.01242410639825
"2","16657758","LOC105378585","105378585","uncharacterized LOC105378585",3.17241632227545,3.63931286763535,9.79825895158243,3.97959556790315e-07,5.99627635374462e-07,6.83959136047977
"3","16657761","TMEM88B","643965","transmembrane protein 88B",5.56786959277127,4.93257343994797,11.2308869806149,8.82509388668496e-08,1.49393150950314e-07,8.39088878325964
"4","16657777","ATAD3C","219293","ATPase family AAA domain containing 3C",1.32136173592806,2.11952833836492,5.06452613994274,0.000266115893595602,0.000285977883367477,0.0777940691695749
"5","16657793","ATAD3B","83858","ATPase family AAA domain containing 3B",3.80935327295136,3.2917000742725,7.10003423465811,1.15755384611171e-05,1.39884376628376e-05,3.33781803808566
"6","16657917","SLC35E2A","9906","solute carrier family 35 member E2A",4.00425827529782,4.87321664708006,17.3140789912108,6.1248639170528e-10,1.59895574129617e-09,13.3767849950969
"7","16657938","GABRD","2563","gamma-aminobutyric acid type A receptor delta subunit",4.68521027925573,5.3056148096412,23.5233245355089,1.62944419851904e-11,6.35927807013955e-11,16.7891043475236
"8","16658020","PLCH2","9651","phospholipase C eta 2",4.60259195083393,4.42169043133036,11.5376616457637,6.52672756348965e-08,1.13553324610687e-07,8.70000581105287
"9","16658119","MMEL1-AS1","105378597","MMEL1 antisense RNA 1",3.81085019322092,4.32768040862536,9.71397828423929,4.37191265072045e-07,6.54671231558515e-07,6.74237124463706
"10","16658122","LOC105378598","105378598","uncharacterized LOC105378598",2.83984200453909,2.61161810278181,8.2866757790738,2.38499545724692e-06,3.15823507922816e-06,4.98244847335454
"11","16658192","TP73","7161","tumor protein p73",3.01053176411503,2.49200821543857,9.01152473655274,9.82252738176081e-07,1.38309929749596e-06,5.90386210778254
"12","16658289","AJAP1","55966","adherens junctions associated protein 1",7.5684348638559,7.96421298548843,36.8683490886129,7.39973283989496e-14,7.62385387577564e-13,21.2352923551685
"13","16658312","KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2",4.49231942222885,3.29022276940085,18.8773977077017,2.21610593916517e-10,6.437958975588e-10,14.3581959138052
"14","16658379","LINC00337","148645","long intergenic non-protein coding RNA 337",4.77049076730422,4.09215097159462,13.8794145877592,7.992931452504e-09,1.63587835015479e-08,10.8319555204195
"15","16658390","ESPN","83715","espin",5.61255061355515,4.61557256302315,16.8241818224405,8.57241359353825e-10,2.15538713968214e-09,13.0486707928144
"16","16658536","PER3","8863","period circadian regulator 3",5.93285104919213,8.18449172535219,37.1015707533605,6.8575639460314e-14,7.21964332238185e-13,21.2908910184854
"17","16658641","LNCTAM34A","102724571","long non coding transcriptional activator of miR34a",1.9507068321233,2.74678007854944,3.11378213823112,0.00882539839686287,0.00895606438176398,-3.49348743485277
